"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:15 GMT 2023","7444","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should have application namespaces created",""
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","838","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy run iperf",""
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","105","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy for valid namespace creating clusters with * in both applicationNamespace and allowedNamespace",""
"skipped","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while creating namespaces with same name in both allowedNamespace and applicationNamespace",""
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:09 GMT 2023","1230","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:09 GMT 2023","1131","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:09 GMT 2023","1653","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Sat Apr 01 13:20:08 GMT 2023","Sat Apr 01 13:20:08 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
