"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:34 GMT 2023","3722","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR Edit NodeIP validation Support more than two node ips in auto detection",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:00:02 GMT 2023","31464","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","373","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deleted app ns entry should get removed from cluster objs",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","472","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","177","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:00:56 GMT 2023","85155","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have application namespaces created & labeled",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","463","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config deletion Validating events for worker slice gateways deletion",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","443","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying clusters in namespaceisolationprofile with * and a cluster name in both applicationNamespace and allowedNamespace",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have slices on workers",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","358","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","478","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR Edit NodeIP validation Auto-detection should work",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate deployments with labels and annotations with nsm sidecars injected",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy should able to remove the label from gw pod",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:50 GMT 2023","19831","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:01:10 GMT 2023","99027","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:35 GMT 2023","4817","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","825","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","160","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:01:03 GMT 2023","92534","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","584","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config deletion Validating events for worker slice configs deletion",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:35 GMT 2023","4904","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Should have application namespaces created",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:00:11 GMT 2023","40140","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","526","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should reconcile low qos slice",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:32 GMT 2023","1019","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:34 GMT 2023","3099","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice config creation and deletion Events get recorded for slice config creation Validating events for worker slice configs creation",""
"skipped","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:31 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 14:00:42 GMT 2023","71626","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Application namespaces should be isolated",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:45 GMT 2023","14102","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Fri Apr 21 13:59:31 GMT 2023","Fri Apr 21 13:59:50 GMT 2023","19618","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Check ping between iperf-server and iperf-client after iperf-client pod restart",""
