"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 06:11:10 GMT 2022","Thu Sep 08 06:11:10 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:18:02 GMT 2022","242271","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:17:38 GMT 2022","218375","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Sep 08 06:33:42 GMT 2022","Thu Sep 08 06:39:22 GMT 2022","340957","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Sep 08 06:11:10 GMT 2022","Thu Sep 08 06:11:10 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:17:00 GMT 2022","180380","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"skipped","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:14:00 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"failed","Thu Sep 08 06:14:00 GMT 2022","Thu Sep 08 06:17:00 GMT 2022","180366","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Thu Sep 08 06:11:10 GMT 2022","Thu Sep 08 06:11:10 GMT 2022","282","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
