"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:47 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:47 GMT 2022","224","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 03:00:54 GMT 2022","187476","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:47 GMT 2022","224","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:58:34 GMT 2022","47073","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:52 GMT 2022","5065","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:52 GMT 2022","5528","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:54 GMT 2022","7561","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:47 GMT 2022","215","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:51 GMT 2022","4658","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 03:00:06 GMT 2022","139154","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"failed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:51 GMT 2022","4517","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"failed","Wed Aug 03 03:10:48 GMT 2022","Wed Aug 03 03:14:30 GMT 2022","222051","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:51 GMT 2022","4796","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Wed Aug 03 03:10:48 GMT 2022","Wed Aug 03 03:11:11 GMT 2022","23883","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:54 GMT 2022","7490","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:58:26 GMT 2022","39548","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:51 GMT 2022","4746","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Aug 03 02:57:47 GMT 2022","Wed Aug 03 02:57:55 GMT 2022","8753","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
