"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:19:38 GMT 2022","220143","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Fri Sep 16 07:12:51 GMT 2022","Fri Sep 16 07:14:48 GMT 2022","117396","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Fri Sep 16 07:12:51 GMT 2022","Fri Sep 16 07:13:53 GMT 2022","62196","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"skipped","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:15:58 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:15:58 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"skipped","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:15:58 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Fri Sep 16 07:35:06 GMT 2022","Fri Sep 16 07:35:06 GMT 2022","401","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:15:58 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Fri Sep 16 07:35:06 GMT 2022","Fri Sep 16 07:41:09 GMT 2022","363379","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Fri Sep 16 07:12:51 GMT 2022","Fri Sep 16 07:12:53 GMT 2022","2894","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Fri Sep 16 07:15:58 GMT 2022","Fri Sep 16 07:18:58 GMT 2022","180215","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
