"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:52:13 GMT 2022","504776","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Ephemeral Storage limits in limits in cluster1's app namespace-3",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode should have CPU usage in sliceResourceQuota Limits Usage",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in limits in cluster1's app namespace-1",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create resource quota in cluster 2's application ns namespace-3 with no enforcement mode",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create CPU limits/requests in limits in cluster1's app namespace-1",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode NamespaceResourceQuota under slicequota should have requests usage for namespaces updates",""
"passed","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:52 GMT 2022","3130","","Worker Suite","","Worker Suite","","[It] Slice tests slice rbac Should apply role and rolebinding to every appns if got '*'",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Memory limits in limits in cluster1's app namespace-2",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create resource quota in application namespaces",""
"passed","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:47:44 GMT 2022","235662","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create limits in cluster2's application ns namespace-3 with no enforcement mode",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in rq in cluster 1's app namespace-3",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create CPU limits in limits in cluster1's app namespace-3",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create CPU limits in rq in cluster 1's app namespace-3",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create resource quota with all CPU/Mem/Ephemeral Storage in cluster 2's application ns namespace-2",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode should have Memory usage in sliceResourceQuota Limits Usage",""
"skipped","Tue Dec 20 10:43:49 GMT 2022","Tue Dec 20 10:43:49 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in limits in cluster1's app namespace-3",""
