"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:52:53 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"skipped","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:52:53 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Sat Sep 10 06:49:53 GMT 2022","Sat Sep 10 06:50:41 GMT 2022","48579","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"failed","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:55:53 GMT 2022","180366","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"failed","Sat Sep 10 07:12:02 GMT 2022","Sat Sep 10 07:12:02 GMT 2022","354","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:52:53 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"skipped","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:52:53 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:55:53 GMT 2022","180480","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"failed","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:55:53 GMT 2022","180304","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Sat Sep 10 06:49:53 GMT 2022","Sat Sep 10 06:49:53 GMT 2022","244","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sat Sep 10 06:49:53 GMT 2022","Sat Sep 10 06:49:58 GMT 2022","5132","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:52:53 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Sat Sep 10 06:52:53 GMT 2022","Sat Sep 10 06:56:21 GMT 2022","208995","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Sat Sep 10 06:49:53 GMT 2022","Sat Sep 10 06:49:53 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Sat Sep 10 06:49:53 GMT 2022","Sat Sep 10 06:49:53 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
