"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:05 GMT 2023","1265","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode increasing load on namespace should log the usage on sliceresourcequota",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:39:38 GMT 2023","274968","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","95","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode NamespaceResourceQuota under slicequota should have requests usage for namespaces updates",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","162","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Ephemeral storage limits in rq in cluster 1's app namespace-3",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:06 GMT 2023","2798","","Worker Suite","","Worker Suite","","[It] Resource Quota tests iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","515","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create limit range in application namespaces",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","178","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Memory limits in rq in cluster 1's app namespace-2",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","150","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in rq in cluster 1's app namespace-3",""
"failed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:40:23 GMT 2023","319297","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","211","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create only CPU limits in rq in cluster 1's app namespace-1",""
"skipped","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] SliceRBAC tests slice rbac Should create RBAC resources sucessfully in worker cluster.",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:38 GMT 2023","34929","","Worker Suite","","Worker Suite","","[It] Resource Quota tests iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","420","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create resource quota in application namespaces",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","269","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Ephemeral Storage limits in limits in cluster1's app namespace-2",""
"skipped","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] SliceRBAC tests slice rbac Verify Iperf Connectivity",""
"skipped","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","0","","Worker Suite","","Worker Suite","","[It] SliceRBAC tests slice rbac Should update the rbac resources if change detected in slicerb and sliceroletemplate",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:12 GMT 2023","8337","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode should install applications on both clusters to get usage",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","179","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode should have Memory usage in sliceResourceQuota Limits Usage",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","165","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in limits in cluster1's app namespace-3",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","152","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create CPU limits/requests in limits in cluster1's app namespace-1",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","204","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota monitoring mode should have Memory requests usage in sliceResourceQuota Requests Usage",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","221","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Memory limits in limits in cluster1's app namespace-2",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","167","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should create Ephemeral Storage limits in limits in cluster1's app namespace-3",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","384","","Worker Suite","","Worker Suite","","[It] NodeAffinityTests Node affinity tests should have nodeAffinity rules",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","152","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Ephemeral storage limits in cluster 1's rq in app namespace-1",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","189","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create resource quota in cluster 2's application ns namespace-3 with no enforcement mode",""
"passed","Mon Mar 13 12:35:04 GMT 2023","Mon Mar 13 12:35:04 GMT 2023","182","","Worker Suite","","Worker Suite","","[It] Resource Quota tests slice resource quota enforcement mode should not create Memory limits in rq in cluster 1's app namespace-1",""
