"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:24:37 GMT 2022","100886","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:37 GMT 2022","5640","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"skipped","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Sun Aug 21 08:41:34 GMT 2022","Sun Aug 21 08:46:36 GMT 2022","302584","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:31:44 GMT 2022","372227","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","224","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:39 GMT 2022","7618","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"skipped","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:38 GMT 2022","6286","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:22:57 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:22:57 GMT 2022","287","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:37 GMT 2022","5733","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:36 GMT 2022","4681","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Sun Aug 21 08:39:32 GMT 2022","Sun Aug 21 08:41:33 GMT 2022","121726","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:37 GMT 2022","5043","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:22:59 GMT 2022","2792","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:22:58 GMT 2022","1320","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Sun Aug 21 08:22:57 GMT 2022","Sun Aug 21 08:22:57 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Sun Aug 21 08:39:32 GMT 2022","Sun Aug 21 08:39:32 GMT 2022","162","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:34 GMT 2022","2515","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:39 GMT 2022","7644","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:37 GMT 2022","5767","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:36 GMT 2022","4773","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:36 GMT 2022","4614","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:34 GMT 2022","2468","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:39 GMT 2022","7692","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:36 GMT 2022","4748","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:40 GMT 2022","8860","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:40 GMT 2022","8454","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","306","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:29:47 GMT 2022","255869","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","219","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"failed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:42 GMT 2022","10062","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"skipped","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:25:32 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"failed","Sun Aug 21 08:41:34 GMT 2022","Sun Aug 21 08:41:34 GMT 2022","317","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Sun Aug 21 08:25:32 GMT 2022","Sun Aug 21 08:27:15 GMT 2022","103252","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
